price_open,price.high,price.low,price_close,volume,price.adjusted,ref_date,ticker,ret_adjusted,ret.closing.prices,date,hits,keyword,geo,time,gprop,category
119199,119250,117867,118748,10402800,118748,2021-02-19,^BVSP,-0.00329024676850764,-0.00329024676850764,2021-02-19T00:00:00Z,47,Ibovespa,world,today 3-m,web,0
118388,118388,111650,112668,21768700,112668,2021-02-22,^BVSP,-0.051200862330313,-0.051200862330313,2021-02-22T00:00:00Z,96,Ibovespa,world,today 3-m,web,0
112676,115380,112667,115227,15174900,115227,2021-02-23,^BVSP,0.0227127489615508,0.0227127489615508,2021-02-23T00:00:00Z,73,Ibovespa,world,today 3-m,web,0
115229,116208,114668,115668,11399300,115668,2021-02-24,^BVSP,0.00382722799343904,0.00382722799343904,2021-02-24T00:00:00Z,59,Ibovespa,world,today 3-m,web,0
115668,116506,111764,112256,12466500,112256,2021-02-25,^BVSP,-0.0294982190407027,-0.0294982190407027,2021-02-25T00:00:00Z,69,Ibovespa,world,today 3-m,web,0
112260,113466,109827,110035,14618500,110035,2021-02-26,^BVSP,-0.0197851339794755,-0.0197851339794755,2021-02-26T00:00:00Z,65,Ibovespa,world,today 3-m,web,0
110036,112445,110036,110335,11239900,110335,2021-03-01,^BVSP,0.00272640523469803,0.00272640523469803,2021-03-01T00:00:00Z,61,Ibovespa,world,today 3-m,web,0
110328,112428,107319,111540,14823200,111540,2021-03-02,^BVSP,0.0109212851769611,0.0109212851769611,2021-03-02T00:00:00Z,74,Ibovespa,world,today 3-m,web,0
111529,112398,107466,111184,15144300,111184,2021-03-03,^BVSP,-0.00319168011475701,-0.00319168011475701,2021-03-03T00:00:00Z,71,Ibovespa,world,today 3-m,web,0
111191,114433,111163,112690,14221600,112690,2021-03-04,^BVSP,0.0135451144049503,0.0135451144049503,2021-03-04T00:00:00Z,70,Ibovespa,world,today 3-m,web,0
112690,115504,112504,115202,13254800,115202,2021-03-05,^BVSP,0.0222912414588694,0.0222912414588694,2021-03-05T00:00:00Z,57,Ibovespa,world,today 3-m,web,0
115202,115202,110268,110612,0,110612,2021-03-08,^BVSP,-0.0398430582802382,-0.0398430582802382,2021-03-08T00:00:00Z,93,Ibovespa,world,today 3-m,web,0
110611,112525,109343,111331,12135300,111331,2021-03-09,^BVSP,0.00650019889342923,0.00650019889342923,2021-03-09T00:00:00Z,100,Ibovespa,world,today 3-m,web,0
111331,112928,109999,112776,12511800,112776,2021-03-10,^BVSP,0.0129793139377172,0.0129793139377172,2021-03-10T00:00:00Z,74,Ibovespa,world,today 3-m,web,0
112782,115127,112776,114984,12092100,114984,2021-03-11,^BVSP,0.0195786337518622,0.0195786337518622,2021-03-11T00:00:00Z,78,Ibovespa,world,today 3-m,web,0
114984,114984,113253,114160,8110700,114160,2021-03-12,^BVSP,-0.00716621442983367,-0.00716621442983367,2021-03-12T00:00:00Z,62,Ibovespa,world,today 3-m,web,0
114093,114903,113635,114851,8224700,114851,2021-03-15,^BVSP,0.00605290819901883,0.00605290819901883,2021-03-15T00:00:00Z,53,Ibovespa,world,today 3-m,web,0
114845,114974,113370,114019,78000,114019,2021-03-16,^BVSP,-0.00724416853140153,-0.00724416853140153,2021-03-16T00:00:00Z,64,Ibovespa,world,today 3-m,web,0
114018,116736,113428,116549,94300,116549,2021-03-17,^BVSP,0.0221892842421001,0.0221892842421001,2021-03-17T00:00:00Z,48,Ibovespa,world,today 3-m,web,0
116549,116751,114302,114835,9920100,114835,2021-03-18,^BVSP,-0.0147062608859793,-0.0147062608859793,2021-03-18T00:00:00Z,64,Ibovespa,world,today 3-m,web,0
114837,116446,114610,116222,12341800,116222,2021-03-19,^BVSP,0.0120781991553098,0.0120781991553098,2021-03-19T00:00:00Z,65,Ibovespa,world,today 3-m,web,0
116222,116225,113620,114979,8160600,114979,2021-03-22,^BVSP,-0.0106950491301131,-0.0106950491301131,2021-03-22T00:00:00Z,60,Ibovespa,world,today 3-m,web,0
114977,115599,113062,113262,8301500,113262,2021-03-23,^BVSP,-0.0149331617077901,-0.0149331617077901,2021-03-23T00:00:00Z,57,Ibovespa,world,today 3-m,web,0
113272,114823,112064,112064,9834000,112064,2021-03-24,^BVSP,-0.0105772456781621,-0.0105772456781621,2021-03-24T00:00:00Z,69,Ibovespa,world,today 3-m,web,0
112065,114024,110927,113750,10306500,113750,2021-03-25,^BVSP,0.0150449743003998,0.0150449743003998,2021-03-25T00:00:00Z,53,Ibovespa,world,today 3-m,web,0
113750,115416,113305,114781,8659500,114781,2021-03-26,^BVSP,0.00906373626373624,0.00906373626373624,2021-03-26T00:00:00Z,57,Ibovespa,world,today 3-m,web,0
114776,115553,114096,115419,7463300,115419,2021-03-29,^BVSP,0.00555841123530887,0.00555841123530887,2021-03-29T00:00:00Z,55,Ibovespa,world,today 3-m,web,0
115414,117090,114999,116850,8141600,116850,2021-03-30,^BVSP,0.0123983053050192,0.0123983053050192,2021-03-30T00:00:00Z,55,Ibovespa,world,today 3-m,web,0
116850,117249,115932,116634,10659200,116634,2021-03-31,^BVSP,-0.00184852374839539,-0.00184852374839539,2021-03-31T00:00:00Z,57,Ibovespa,world,today 3-m,web,0
116644,117088,114991,115253,8009200,115253,2021-04-01,^BVSP,-0.0118404581854348,-0.0118404581854348,2021-04-01T00:00:00Z,55,Ibovespa,world,today 3-m,web,0
115262,117668,115262,117518,7245100,117518,2021-04-05,^BVSP,0.0196524168568279,0.0196524168568279,2021-04-05T00:00:00Z,51,Ibovespa,world,today 3-m,web,0
117519,118213,117176,117499,6800800,117499,2021-04-06,^BVSP,-0.000161677360064005,-0.000161677360064005,2021-04-06T00:00:00Z,57,Ibovespa,world,today 3-m,web,0
117499,118303,116748,117624,0,117624,2021-04-07,^BVSP,0.00106383884118166,0.00106383884118166,2021-04-07T00:00:00Z,50,Ibovespa,world,today 3-m,web,0
